courses_id,text,
3,Research documentation on your own as a first line of action,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Research documentation on your own as a first line of action"");"
3,Describe the components of a computer,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Describe the components of a computer"");"
3,Explain the scales of computational power and scales of data,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Explain the scales of computational power and scales of data"");"
3,"Differentiate between Windows, MacOS ,and Linux operating systems","INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Differentiate between Windows, MacOS ,and Linux operating systems"");"
3,Compare Command Line (CLI) and Graphical User Interface (GUI) shells,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Compare Command Line (CLI) and Graphical User Interface (GUI) shells"");"
3,Demonstrate installing software to your computer,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Demonstrate installing software to your computer"");"
3,Implement important tasks with Linux,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Implement important tasks with Linux"");"
3,Create a GitHub account for career or personal use,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Create a GitHub account for career or personal use"");"
3,Use CLI to operate Git software for version control,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Use CLI to operate Git software for version control"");"
3,Use GUI to operate Github website interface for version control,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Use GUI to operate Github website interface for version control"");"
3,Know how to Install R,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Know how to Install R"");"
3,Know how to install and launch Rstudio,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Know how to install and launch Rstudio"");"
3,Know how to install Anaconda,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Know how to install Anaconda"");"
3,Know how to launch Spyder,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Know how to launch Spyder"");"
3,Know how to launch Jupyter Notebook,"INSERT INTO learning_objectives (courses_id,text) VALUES (3,""Know how to launch Jupyter Notebook"");"
4,Understand and use language models such as bag of words,"INSERT INTO learning_objectives (courses_id,text) VALUES (4,""Understand and use language models such as bag of words"");"
4,Understand and use vector space models,"INSERT INTO learning_objectives (courses_id,text) VALUES (4,""Understand and use vector space models"");"
4,Understand how to measure similarity between documents,"INSERT INTO learning_objectives (courses_id,text) VALUES (4,""Understand how to measure similarity between documents"");"
4,Understand how Principal Component Analysis (PCA) works,"INSERT INTO learning_objectives (courses_id,text) VALUES (4,""Understand how Principal Component Analysis (PCA) works"");"
4,Understand and use topic models such as Latent Dirichlet Allocation (LDA),"INSERT INTO learning_objectives (courses_id,text) VALUES (4,""Understand and use topic models such as Latent Dirichlet Allocation (LDA)"");"
4,Understand and use word embedding such as glove and word2vec,"INSERT INTO learning_objectives (courses_id,text) VALUES (4,""Understand and use word embedding such as glove and word2vec"");"
4,Understand and use sentiment analysis such as VADER,"INSERT INTO learning_objectives (courses_id,text) VALUES (4,""Understand and use sentiment analysis such as VADER"");"
4,Understand and use Naive Bayes classification,"INSERT INTO learning_objectives (courses_id,text) VALUES (4,""Understand and use Naive Bayes classification"");"
5,Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency,"INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency"");"
5,"Select, Computationally Assess, and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems","INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Select, Computationally Assess, and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems"");"
5,"Define and Use Logic, Data Structures, and Algorithms to Solve Problems ","INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Define and Use Logic, Data Structures, and Algorithms to Solve Problems "");"
5,"Connect, Transform, and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing, efficient algorithmic solutions","INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Connect, Transform, and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing, efficient algorithmic solutions"");"
5,Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics,"INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics"");"
5,"Reflect on peer-feedback, instructor-feedback, experiences, and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied ","INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Reflect on peer-feedback, instructor-feedback, experiences, and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied "");"
5,Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science ,"INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science "");"
5,Design and understand regular expressions for pattern matching,"INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Design and understand regular expressions for pattern matching"");"
